pad_number,x,y,via_x,via_y,connector_number,connector_pin,pin_name,sector,strip,channel_id,pin_x,pin_y,pad_angle,pad_cx,pad_cy,pad_area,pad_w,pad_h,radius,phi,delta_phi,mec8_connector,mec8_pin
46,462.149,36.089,450.807,34.732,0,51,S47,0,81,80,625.1993,57.6882,274.837,450.7586,34.6637,132.789,11.8971,11.3938,499.069,0.11380045,-0.02100263,1,20
47,291.107,24.266,279.786,22.813,0,52,S48,0,82,81,633.4697,58.388,274.837,279.7445,22.7456,132.128,11.9277,11.3791,327.8807,0.13721399,0.02341354,1,19
48,473.579,36.475,462.268,34.738,0,53,S49,0,79,78,625.2414,57.1899,274.837,462.2193,34.6698,132.818,11.8963,11.4121,510.4697,0.1120091,-0.08705848,1,18
49,302.504,25.014,291.25,22.82,0,54,S50,0,80,79,633.5119,57.8898,274.837,291.2078,22.7531,132.202,11.9246,11.3983,339.2739,0.13480308,0.02279398,1,17
50,314.062,24.023,302.712,22.827,0,55,S51,0,77,76,625.2836,56.6917,274.837,302.6688,22.7595,132.264,11.9217,11.4209,350.603,0.12757162,0.01890188,1,16
51,142.678,14.998,131.682,11.028,0,56,S52,0,78,77,633.554,57.3916,274.837,131.6613,10.9621,129.906,11.9851,11.4234,179.9231,0.19906758,0.07149596,1,15
52,325.468,24.658,314.171,22.832,0,57,S53,0,75,74,625.3258,56.1935,274.837,314.1274,22.7651,132.33,11.9191,11.4445,361.998,0.12530283,0.019024,1,14
53,485.08,36.015,473.728,34.743,0,58,S54,0,76,75,633.5962,56.8934,274.837,473.6785,34.6754,132.843,11.8945,11.4309,521.8502,0.10866974,-0.01663309,1,13
54,154.271,14.098,143.147,11.027,0,59,S55,0,73,72,625.3679,55.6953,274.837,143.1231,10.961,130.264,11.9779,11.4578,191.1356,0.18245659,0.07840011,1,12
55,496.542,35.983,485.186,34.748,0,60,S56,0,74,73,633.6384,56.3952,274.837,485.1363,34.6805,132.864,11.9017,11.4502,533.2426,0.10627883,-0.07617776,1,11
56,336.936,24.571,325.629,22.838,0,61,S57,0,71,70,625.4101,55.1971,274.837,325.5839,22.7704,132.382,11.9156,11.4684,373.3683,0.12123302,0.0193078,1,10
57,507.999,35.988,496.643,34.753,0,62,S58,0,72,71,633.6805,55.8969,274.837,496.5929,34.6854,132.883,11.9208,11.4687,544.6368,0.10405648,-0.01717654,1,9
58,165.805,13.555,154.607,11.026,0,63,S59,0,69,68,625.4522,54.6988,274.837,154.58,10.9595,130.568,11.9724,11.4907,202.3966,0.16947783,0.0696598,1,8
59,519.456,35.993,508.098,34.757,0,64,S60,0,70,69,633.7227,55.3987,274.837,508.048,34.6899,132.907,11.9402,11.4882,556.0336,0.10192522,-0.06755261,1,7
60,348.456,23.839,337.084,22.843,0,65,S61,0,67,66,625.4944,54.2006,274.837,337.0388,22.7754,132.43,11.9133,11.494,384.7211,0.11572299,0.01787003,1,6
61,530.914,35.963,519.553,34.762,0,66,S62,0,68,67,633.7648,54.9005,274.837,519.5023,34.6944,132.929,11.9576,11.5049,567.4304,0.09981803,-0.01590496,1,5
62,359.911,23.843,348.538,22.847,0,67,S63,0,65,64,625.5366,53.7024,274.837,348.4917,22.7801,132.478,11.933,11.519,396.1021,0.11239385,0.01648266,1,4
63,542.368,35.967,531.006,34.766,0,68,S64,0,66,65,633.807,54.4023,274.837,530.9553,34.6987,132.947,11.976,11.5215,578.8289,0.09785296,-0.01454089,1,3
64,371.318,24.431,359.99,22.851,0,73,S65,0,63,62,625.663,52.2078,274.837,359.9432,22.7841,132.522,11.9587,11.5423,407.5037,0.11068813,0.0166448,0,68
65,553.824,35.94,542.458,34.77,0,74,S66,0,64,63,633.9335,52.9076,274.837,542.4072,34.7023,132.969,11.9926,11.5362,590.2286,0.09591119,-0.01477694,0,67
66,177.308,13.192,166.063,11.024,0,75,S67,0,61,60,625.7052,51.7095,274.837,166.033,10.9581,130.816,11.9648,11.5242,213.686,0.1587236,0.06647364,0,66
67,565.278,35.913,553.91,34.774,0,76,S68,0,62,61,633.9756,52.4094,274.837,553.8582,34.7065,132.98,12.0081,11.5519,601.6284,0.09404333,-0.06468027,0,65
68,382.818,23.815,371.44,22.855,0,77,S69,0,59,58,625.7474,51.2113,274.837,371.3932,22.7878,132.565,11.9846,11.5645,418.8695,0.10619376,0.01624613,0,64
69,576.731,35.889,565.36,34.777,0,78,S70,0,60,59,634.0178,51.9112,274.837,565.3085,34.7097,133.002,12.0238,11.5667,613.0295,0.09224996,-0.0139438,0,63
70,596.454,35.527,588.258,34.784,0,79,S71,0,57,56,625.7895,50.7131,274.837,588.2062,34.7167,133.034,12.0522,11.5935,632.639,0.0888083,-0.01586656,0,62
71,588.208,35.507,576.809,34.78,0,80,S72,0,58,57,634.06,51.413,274.837,576.7576,34.7133,133.02,12.0384,11.5796,624.4242,0.08994763,0.00113933,0,61
72,188.794,12.933,177.515,11.023,0,81,S73,0,55,54,625.8317,50.2149,274.837,177.4829,10.9566,131.038,11.9597,11.5621,224.9962,0.14951799,0.0477992,0,60
73,394.228,24.374,382.89,22.859,0,82,S74,0,56,55,634.1021,50.9147,274.837,382.842,22.7917,132.603,12.0076,11.5859,430.275,0.10467486,-0.04484313,0,59
74,200.267,12.737,188.965,11.022,0,83,S75,0,53,52,625.8738,49.7167,274.837,188.9304,10.9551,131.224,11.9532,11.596,236.3196,0.14146589,0.0434808,0,58
75,405.686,24.265,394.338,22.862,0,84,S76,0,54,53,634.1443,50.4165,274.837,394.2897,22.7949,132.635,12.0298,11.6052,441.6608,0.10171879,-0.0397471,0,57
